"MassFeature","mz","rt","column","z","MS2"
"I102.0549R12.14",102.0549424,728.6243451,"HILIC",-1,"59.01263, 100; 74.99261, 41.1; 102.0549, 30; 103.02913, 12.2; 101.95898, 11.8; 101.92309, 11.2; 65.99737, 11.1; 88.00545, 7.8; 58.02865, 7.2; 101.05963, 7.1; 76.00549, 6.6; 100.0392, 5.9; 103.01662, 5.2; 101.9741, 5; 99.92451, 2.5; 57.03338, 2; 102.01854, 1.9; 102.98736, 1.9; 102.06315, 1.7; 109.88074, 1.6; 58.99776, 1.5; 73.02839, 1.5; 72.04425, 1.5; 50.46642, 1.3; 100.25814, 1.2; 102.92281, 1.1"
"Uracil",111.019453,240,"HILIC",-1,"110.97466, 100; 110.03485, 39.1; 58.02862, 33.5; 68.01299, 26.6; 111.01888, 20.6; 111.05531, 17.5; 68.02917, 14.8; 67.02898, 14.3; 66.00958, 11.7; 79.95618, 11.6; 68.02421, 11.1; 110.04292, 10.8; 110.07133, 8.9; 82.03986, 7; 111.04124, 6; 110.02378, 3.5; 69.04459, 3.2; 83.02393, 3.1; 68.99699, 3; 95.95114, 3; 65.01331, 3; 81.04467, 2.9; 69.01627, 2.8; 83.03205, 2.8; 69.00823, 2.7; 109.94096, 2.6; 82.02856, 2.4; 112.05061, 2.3; 80.96399, 2.3; 65.99735, 2.2; 112.03928, 2; 84.04417, 1.9; 59.03198, 1.2; 66.03379, 1; 96.03178, 1; 70.02859, 1; 51.00574, 0.9; 111.93635, 0.9; 93.04466, 0.8; 111.07485, 0.8; 112.01435, 0.7; 50.0024, 0.7; 112.00274, 0.6; 102.09911, 0.6; 56.62686, 0.6"
"I124.0064R10.88",124.006394,652.5603017,"HILIC",-1,"124.01125, 100; 123.90107, 58.1; 79.9562, 39.5; 82.03929, 29; 124.0506, 22.9; 82.02868, 14.9; 70.94491, 8.4; 81.04461, 6.4; 66.00853, 3.7; 65.0133, 3.6; 123.0555, 3.2; 123.01891, 2.6; 67.02885, 1.9; 97.03964, 1.7; 106.97971, 1.5; 125.03453, 1.5; 125.00981, 1.4; 123.03858, 1.4; 80.96402, 1; 123.9198, 0.9; 83.0239, 0.8; 58.02859, 0.8"
"Isethionic Acid",124.990857,432,"HILIC",-1,"124.99041, 100; 94.97973, 27.2; 79.9562, 18.2; 106.97979, 6.3; 82.03949, 5.6; 125.89882, 3.8; 124.05066, 3.1; 82.02823, 2.7; 125.99171, 1.9; 122.97472, 1.3; 58.02864, 1.3; 125.03469, 0.9; 83.02392, 0.8; 81.04465, 0.6; 66.00831, 0.6; 65.01332, 0.6; 83.04149, 0.6"
"I126.904R4.8",126.9039935,287.951141,"HILIC",-1,"126.90401, 100; 85.03849, 1.4; 127.89758, 0.9; 58.02827, 0.7; 125.89881, 0.6"
"L-Pyroglutamic acid",128.034768,478.2,"HILIC",-1,"128.03429, 100; 129.04133, 19.5; 86.02365, 11.4; 129.03276, 10.4; 85.03962, 9.4; 126.99718, 7.9; 58.02862, 5.9; 128.01187, 4.4; 127.89628, 4; 129.09109, 3.4; 82.02858, 3.1; 87.05527, 2.9; 95.9831, 2.5; 127.05025, 2.1; 57.03331, 2.1; 128.99275, 2; 126.98602, 1.6; 79.95618, 1.6; 102.02127, 1.2; 129.05415, 1.1; 128.97388, 1.1; 64.01803, 0.6; 81.95196, 0.6"
"Malic Acid",133.0137,718.2,"HILIC",-1,"91.02903, 100; 132.05575, 59.6; 132.89921, 54.9; 133.05101, 52.1; 65.01332, 50.9; 67.02898, 44.3; 106.03997, 36.1; 133.03978, 35.8; 134.03501, 30.5; 132.98336, 28.6; 105.04472, 23.2; 81.04465, 17.4; 92.02419, 13.5; 132.03872, 11.8; 107.02399, 11.7; 134.03499, 11.4; 133.06182, 10.7; 92.03236, 8.9; 82.04024, 7.8; 92.01307, 7.4; 64.01808, 7.3; 132.86693, 7.1; 65.99733, 6.8; 133.9842, 4.9; 134.05041, 4.7; 50.0024, 4.6; 115.91967, 4.2; 90.01672, 4.2; 68.03022, 3.2; 68.02422, 3.1; 66.00902, 3; 132.03234, 2.9; 134.0714, 2.7; 106.04808, 2.5; 90.03382, 2.4; 68.013, 2.1; 66.01669, 2.1; 74.99264, 2; 106.02876, 1.8; 77.01338, 1.8; 90.00852, 1.6; 66.03375, 1.5; 89.01337, 1.4; 133.01465, 1.3; 134.05896, 1.2; 132.01941, 1.1; 107.03988, 0.8; 79.02903, 0.7; 93.00833, 0.7"
"Amino Propanesulfonic Acid",138.022491,689.4,"HILIC",-1,"136.89084, 100; 137.89087, 84; 96.05559, 21.6; 138.88915, 16.3; 111.9364, 13.9; 138.06852, 13.6; 137.93959, 10.4; 137.03464, 6.6; 96.04438, 6.5; 97.03955, 5.8; 67.02898, 5.6; 138.01971, 5.5; 66.00856, 5.4; 138.0299, 4.9; 95.02395, 3.9; 138.89506, 3.9; 82.03989, 3.4; 139.05031, 3.3; 81.04463, 3.2; 109.03958, 3; 68.01299, 3; 110.03488, 3; 137.07095, 2.9; 95.06029, 2.6; 137.04966, 2.2; 111.0189, 2.1; 120.01927, 2; 99.92473, 1.9; 96.00792, 1.6; 97.05077, 1.5; 58.0286, 1.3; 65.01331, 1.2; 110.92487, 1.1; 82.02864, 1.1; 136.86189, 1.1; 83.0239, 1; 139.01394, 0.7; 94.02868, 0.7; 154.96771, 0.7; 65.99736, 0.7; 138.03783, 0.6; 97.02693, 0.6; 66.03362, 0.6; 136.95712, 0.6"
"I139.0157R7.24",139.0156775,434.5020319,"HILIC",-1,"109.00492, 100; 139.01561, 62.7; 96.05563, 51.3; 97.03963, 45.6; 140.02449, 41.4; 140.00127, 37.2; 82.03988, 29.6; 76.97941, 28.9; 139.05044, 28.6; 138.06622, 26.4; 73.02829, 23.2; 139.03164, 21.7; 98.03489, 19.8; 97.0496, 19.1; 139.00649, 17.9; 96.04441, 16.6; 83.02397, 14; 140.04568, 13.5; 140.07091, 13.1; 139.06171, 11.3; 113.93408, 11.2; 106.98929, 10.1; 58.02864, 9.9; 81.04468, 9.6; 98.02361, 6.8; 112.03939, 6.7; 67.02904, 6.3; 95.06038, 6; 109.03971, 6; 97.05894, 5.9; 78.95783, 5.4; 138.85925, 5.4; 66.00865, 4.7; 139.9372, 4.1; 104.02454, 4; 139.0697, 4; 139.89622, 3.9; 95.02408, 3.4; 137.93954, 3.2; 111.93636, 3.2; 98.97451, 3; 68.013, 2.9; 111.05537, 2; 56.69044, 1.6; 140.03418, 1.5; 113.01321, 1.4; 111.01902, 1.3; 138.03003, 1.3; 97.97942, 1; 96.00817, 1; 101.20042, 1; 77.2853, 1; 110.035, 1; 95.92675, 0.9; 77.5557, 0.9; 94.94268, 0.9; 88.93517, 0.9; 112.93657, 0.9; 83.37512, 0.9; 82.02885, 0.9; 87.78281, 0.8; 76.02653, 0.8; 143.50479, 0.8; 83.04288, 0.8; 60.41332, 0.8; 82.96489, 0.8; 64.95054, 0.8; 63.89548, 0.8; 105.65414, 0.8; 86.72137, 0.8; 86.02361, 0.8; 72.71099, 0.8; 62.73767, 0.8; 95.2091, 0.8; 138.01886, 0.7; 93.27591, 0.7; 77.99494, 0.7; 109.53127, 0.7; 78.97626, 0.7; 62.15924, 0.7; 115.66106, 0.7; 79.29837, 0.7; 91.92517, 0.7; 135.23346, 0.7; 56.61347, 0.7; 51.57388, 0.7; 57.13312, 0.7; 64.15425, 0.6"
"I148.9235R3.57",148.9234908,214.0767263,"HILIC",-1,NA
